121,BOLOGNA,HELLAS VERONA,7
122,HELLAS VERONA,BOLOGNA,26
123,CATANIA,GENOA,7
124,GENOA,CATANIA,26
125,CHIEVO,ATALANTA,7
126,ATALANTA,CHIEVO,26
127,INTER,ROMA,7
128,ROMA,INTER,26
129,JUVENTUS,MILAN,7
130,MILAN,JUVENTUS,26
131,LAZIO,FIORENTINA,7
132,FIORENTINA,LAZIO,26
133,NAPOLI,LIVORNO,7
134,LIVORNO,NAPOLI,26
135,PARMA,SASSUOLO,7
136,SASSUOLO,PARMA,26
137,SAMPDORIA,TORINO,7
138,TORINO,SAMPDORIA,26
139,UDINESE,CAGLIARI,7
140,CAGLIARI,UDINESE,26
141,ATALANTA,LAZIO,8
142,LAZIO,ATALANTA,27
143,CAGLIARI,CATANIA,8
144,CATANIA,CAGLIARI,27
145,FIORENTINA,JUVENTUS,8
146,JUVENTUS,FIORENTINA,27
147,GENOA,CHIEVO,8
148,CHIEVO,GENOA,27
149,HELLAS VERONA,PARMA,8
150,PARMA,HELLAS VERONA,27
151,LIVORNO,SAMPDORIA,8
152,SAMPDORIA,LIVORNO,27
153,MILAN,UDINESE,8
154,UDINESE,MILAN,27
155,ROMA,NAPOLI,8
156,NAPOLI,ROMA,27
157,SASSUOLO,BOLOGNA,8
158,BOLOGNA,SASSUOLO,27
159,TORINO,INTER,8
160,INTER,TORINO,27
161,BOLOGNA,LIVORNO,9
162,LIVORNO,BOLOGNA,28
163,CATANIA,SASSUOLO,9
164,SASSUOLO,CATANIA,28
165,CHIEVO,FIORENTINA,9
166,FIORENTINA,CHIEVO,28
167,INTER,HELLAS VERONA,9
168,HELLAS VERONA,INTER,28
169,JUVENTUS,GENOA,9
170,GENOA,JUVENTUS,28
171,LAZIO,CAGLIARI,9
172,CAGLIARI,LAZIO,28
173,NAPOLI,TORINO,9
174,TORINO,NAPOLI,28
175,PARMA,MILAN,9
176,MILAN,PARMA,28
177,SAMPDORIA,ATALANTA,9
178,ATALANTA,SAMPDORIA,28
179,UDINESE,ROMA,9
180,ROMA,UDINESE,28
181,ATALANTA,INTER,10
182,INTER,ATALANTA,29
183,CAGLIARI,BOLOGNA,10
184,BOLOGNA,CAGLIARI,29
185,FIORENTINA,NAPOLI,10
186,NAPOLI,FIORENTINA,29
187,GENOA,PARMA,10
188,PARMA,GENOA,29
189,HELLAS VERONA,SAMPDORIA,10
190,SAMPDORIA,HELLAS VERONA,29
191,JUVENTUS,CATANIA,10
192,CATANIA,JUVENTUS,29
193,LIVORNO,TORINO,10
194,TORINO,LIVORNO,29
195,MILAN,LAZIO,10
196,LAZIO,MILAN,29
197,ROMA,CHIEVO,10
198,CHIEVO,ROMA,29
199,SASSUOLO,UDINESE,10
200,UDINESE,SASSUOLO,29
201,BOLOGNA,CHIEVO,11
202,CHIEVO,BOLOGNA,30
203,HELLAS VERONA,CAGLIARI,11
204,CAGLIARI,HELLAS VERONA,30
205,LAZIO,GENOA,11
206,GENOA,LAZIO,30
207,LIVORNO,ATALANTA,11
